region,survey_year,survey_index,station_code,lat,long
PR,2014,9245,379,18.49411439,-66.60935152
PR,2014,9246,378,18.49980838,-67.15889155
PR,2014,9247,376,18.48838198,-66.92751676
PR,2014,9248,375,18.48448756,-66.90200171
PR,2014,9249,370,18.39199215,-67.48229132
PR,2014,9250,368,18.38798778,-67.2282187
PR,2014,9251,365,18.38975602,-67.48515027
PR,2014,9252,364,18.38829857,-67.47238599
PR,2014,9253,363,18.38695091,-67.4733443
PR,2014,9254,360,18.38396212,-67.23251831
PR,2014,9255,358,18.38163572,-67.48664083
PR,2014,9256,357,18.38163948,-67.487114
PR,2014,9257,354,18.3784546,-67.4843026
PR,2014,9258,353,18.37799908,-67.48383338
PR,2014,9259,352,18.37561541,-67.25815312
PR,2014,9260,351,18.35130099,-67.26691252
PR,2014,9261,350,18.35130959,-67.2678586
PR,2014,9262,347,18.4945032,-66.3992069
PR,2014,9263,346,18.49451621,-66.40015322
PR,2014,9264,345,18.49404525,-66.39874057
PR,2014,9265,343,18.49350914,-66.39259639
PR,2014,9266,342,18.48865457,-66.43384208
PR,2014,9267,341,18.48408786,-66.33216736
PR,2014,9268,321,18.37687144,-65.56035165
PR,2014,9269,320,18.3709901,-65.55952311
PR,2014,9270,318,18.36384659,-65.53887053
PR,2014,9271,314,18.36039666,-65.49829781
PR,2014,9272,312,18.35777591,-65.52764985
PR,2014,9273,309,18.35251961,-65.48711572
PR,2014,9274,308,18.35353382,-65.56743055
PR,2014,9275,302,18.34225843,-65.61821703
PR,2014,9276,269,18.27648867,-65.47495337
PR,2014,9277,268,18.2617152,-65.60608342
PR,2014,9278,267,18.25291847,-65.51840659
PR,2014,9279,263,18.34954142,-67.27213392
PR,2014,9280,262,18.34903384,-67.26598898
PR,2014,9281,261,18.34907254,-67.27024628
PR,2014,9282,257,18.34727,-67.27073729
PR,2014,9283,255,18.34590628,-67.26980473
PR,2014,9284,254,18.3453814,-67.26176785
PR,2014,9285,252,18.31452687,-67.24694084
PR,2014,9286,249,18.3009627,-67.24565855
PR,2014,9287,248,18.29780511,-67.24616327
PR,2014,9288,245,18.29279288,-67.24148453
PR,2014,9289,227,18.10407597,-67.93601723
PR,2014,9290,226,18.10094683,-67.9421788
PR,2014,9291,224,18.09055687,-67.94271359
PR,2014,9292,221,18.08875981,-67.94461429
PR,2014,9293,219,18.07924246,-67.93947417
PR,2014,9294,217,18.0787932,-67.93994932
PR,2014,9295,214,18.0756819,-67.94941694
PR,2014,9296,212,18.0752017,-67.94422289
PR,2014,9297,211,18.07101897,-67.84503797
PR,2014,9298,209,18.06790117,-67.85261698
PR,2014,9299,205,18.05876748,-67.9140875
PR,2014,9300,204,18.05828902,-67.90936647
PR,2014,9301,203,18.05666386,-67.86261001
PR,2014,9302,202,18.05441578,-67.86451399
PR,2014,9303,199,18.05195249,-67.90751604
PR,2014,9304,198,18.05003467,-67.88816061
PR,2014,9305,106,18.20131478,-65.50951914
PR,2014,9306,105,18.1905747,-65.51445428
PR,2014,9307,104,18.1844959,-65.50277286
PR,2014,9308,102,18.17992847,-65.52457979
PR,2014,9309,101,18.17599673,-65.53173889
PR,2014,9310,99,18.17407046,-65.4510551
PR,2014,9311,98,18.17387195,-65.46474838
PR,2014,9312,96,18.16345351,-65.48714341
PR,2014,9313,95,18.15927677,-65.3597898
PR,2014,9314,94,18.15936614,-65.36450759
PR,2014,9315,93,18.1620568,-65.66183313
PR,2014,9316,92,18.15262001,-65.29480135
PR,2014,9317,90,18.14816482,-65.2977268
PR,2014,9318,85,18.13775106,-65.48812947
PR,2014,9319,83,18.13002983,-65.26979781
PR,2014,9320,82,18.13284631,-65.66899638
PR,2014,9321,80,18.12483825,-65.62383732
PR,2014,9322,79,18.12020258,-65.61684682
PR,2014,9323,77,18.11327414,-65.71184452
PR,2014,9324,71,18.10442398,-65.64357789
PR,2014,9325,66,18.10011525,-65.68141412
PR,2014,9326,56,18.09288247,-65.70703399
PR,2014,9327,52,18.08806956,-65.74251777
PR,2014,9328,48,18.08486593,-65.71331849
PR,2014,9329,340,18.47961286,-66.20968433
PR,2014,9330,195,18.01102432,-67.30615496
PR,2014,9331,193,17.995528,-67.34265728
PR,2014,9332,179,17.95867659,-67.3127908
PR,2014,9333,177,17.95813019,-67.30193927
PR,2014,9334,171,17.95280811,-67.3133185
PR,2014,9335,164,17.94931261,-67.32703993
PR,2014,9336,163,17.94732153,-67.30581848
PR,2014,9337,154,17.93516164,-67.31018195
PR,2014,9338,46,18.07826172,-65.54215856
PR,2014,9339,47,18.07933885,-65.47702771
PR,2014,9340,49,18.08364406,-65.61660522
PR,2014,9341,54,18.08657025,-65.57785619
PR,2014,9342,55,18.08860655,-65.61650998
PR,2014,9343,57,18.08891925,-65.36124577
PR,2014,9344,58,18.09110932,-65.43008249
PR,2014,9345,60,18.09246428,-65.45458953
PR,2014,9346,63,18.09464068,-65.47483453
PR,2014,9347,64,18.09755464,-65.61209107
PR,2014,9348,67,18.09622574,-65.38987464
PR,2014,9349,68,18.10175574,-65.62003279
PR,2014,9350,69,18.09624894,-65.31957737
PR,2014,9351,75,18.10539643,-65.39770779
PR,2014,9352,76,18.10578566,-65.39439699
PR,2014,9353,78,18.1090576,-65.40046394
PR,2014,9354,81,18.12049401,-65.31340835
PR,2014,9355,88,18.1464546,-65.67298695
PR,2014,9356,100,18.17757131,-65.61999072
PR,2014,9357,301,18.33795163,-65.43165657
PR,2014,9358,303,18.34332408,-65.5269939
PR,2014,9359,315,18.36201019,-65.5124425
